asins,meta_label,name,avg_rating,review_count,pct_positive,pct_neutral,pct_negative
"B00L9EPT8O,B01E6AO69U",Alexa & Echo Devices,"Echo (White),,,
Echo (White),,,",4.671098353225563,6619,0.9515032482248074,0.03520169209850431,0.013295059676688321
B01BH83OOM,Alexa & Echo Devices,Amazon Tap Smart Assistant Alexaenabled (black) Brand New,4.530095759233926,1462,0.914500683994528,0.047879616963064295,0.03761969904240766
B010CEHQTG,Alexa & Echo Devices,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",4.666666666666667,648,0.9475308641975309,0.035493827160493825,0.016975308641975308
B018Y229OU,Computer & Office Accessories,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",4.454222141163597,10966,0.9066204632500456,0.06346890388473464,0.02991063286521977
B01AHB9CN2,Computer & Office Accessories,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",4.589196675900277,3610,0.9490304709141274,0.032686980609418284,0.018282548476454295
B018T075DC,Computer & Office Accessories,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",4.598039215686274,2448,0.951797385620915,0.03022875816993464,0.017973856209150325
"B00QWO9P0O,B00LH3DMUO",Kindle E-Readers,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4.402626993700577,7461,0.8464012866907921,0.04624045034177724,0.10735826296743065
"B00QWO9P0O,B01IB83NZG,B00MNV8E0C",Kindle E-Readers,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,4.419611307420495,3396,0.8501177856301532,0.04888103651354535,0.10100117785630153
B00OQVZDJM,Kindle E-Readers,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",4.772355163727959,3176,0.9729219143576826,0.017632241813602016,0.009445843828715366
"B00EEBS9O0,B01CHQHIJK",Power & Charging,AmazonBasics Backpack for Laptops up to 17-inches,4.16,25,0.76,0.24,0.0
B00DUGZFWY,Power & Charging,AmazonBasics 15.6-Inch Laptop and Tablet Bag,4.523809523809524,21,0.9047619047619048,0.047619047619047616,0.047619047619047616
